Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),1997,67.6," (adjusted for inflation, 2023 dollars)",,$67.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),1998,48," (adjusted for inflation, 2023 dollars)",,$48.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),1999,51," (adjusted for inflation, 2023 dollars)",,$51.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2000,46.5," (adjusted for inflation, 2023 dollars)",,$46.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2001,54," (adjusted for inflation, 2023 dollars)",,$54.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2002,42.2," (adjusted for inflation, 2023 dollars)",,$42.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2003,35.6," (adjusted for inflation, 2023 dollars)",,$35.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2004,32.1," (adjusted for inflation, 2023 dollars)",,$32.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2005,20.6," (adjusted for inflation, 2023 dollars)",,$20.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2006,15," (adjusted for inflation, 2023 dollars)",,$15.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2007,5.9," (adjusted for inflation, 2023 dollars)",,$5.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2008,4.1," (adjusted for inflation, 2023 dollars)",,$4.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2009,3.6," (adjusted for inflation, 2023 dollars)",,$3.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2010,3.2," (adjusted for inflation, 2023 dollars)",,$3.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2011,6.2," (adjusted for inflation, 2023 dollars)",,$6.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2012,6.3," (adjusted for inflation, 2023 dollars)",,$6.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2013,3.9," (adjusted for inflation, 2023 dollars)",,$3.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2014,7.1," (adjusted for inflation, 2023 dollars)",,$7.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2015,7.4," (adjusted for inflation, 2023 dollars)",,$7.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2016,6.2," (adjusted for inflation, 2023 dollars)",,$6.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2017,7.6," (adjusted for inflation, 2023 dollars)",,$7.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2018,6.9," (adjusted for inflation, 2023 dollars)",,$6.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2019,8," (adjusted for inflation, 2023 dollars)",,$8.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2020,7.4," (adjusted for inflation, 2023 dollars)",,$7.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2021,8.9," (adjusted for inflation, 2023 dollars)",,$8.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2022,5.8," (adjusted for inflation, 2023 dollars)",,$5.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Vinyl Single,Value (Adjusted),2023,8.4," (adjusted for inflation, 2023 dollars)",,$8.4M,$819.6B,,$819604.4B,0
