Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1988,147.6," (adjusted for inflation, 2023 dollars)",,$147.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1989,478.2," (adjusted for inflation, 2023 dollars)",,$478.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1990,601.2," (adjusted for inflation, 2023 dollars)",,$601.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1991,515.4," (adjusted for inflation, 2023 dollars)",,$515.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1992,648.9," (adjusted for inflation, 2023 dollars)",,$648.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1993,629.4," (adjusted for inflation, 2023 dollars)",,$629.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1994,565.2," (adjusted for inflation, 2023 dollars)",,$565.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1995,472.4," (adjusted for inflation, 2023 dollars)",,$472.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1996,367.6," (adjusted for inflation, 2023 dollars)",,$367.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1997,253.4," (adjusted for inflation, 2023 dollars)",,$253.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1998,176.5," (adjusted for inflation, 2023 dollars)",,$176.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1999,87.8," (adjusted for inflation, 2023 dollars)",,$87.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),2000,8.1," (adjusted for inflation, 2023 dollars)",,$8.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),2001,-9.1," (adjusted for inflation, 2023 dollars)",,-$9.1M,$819.6B,,$819604.4B,0
